Type;ID;Name;Transit To
Use Case;2;Ultimos Videos de Administrador;com.example.demo.views.UltimosVideosdeAdministrador_item, com.example.demo.views.UltimosVideosdeAdministrador
Use Case;4;Ultimos Videos de Youtuber;com.example.demo.views.UltimosVideosdeYoutuber_item, com.example.demo.views.UltimosVideosdeYoutuber
Use Case;6;Bloquear;com.example.demo.views.PerfilAjenodeAdministrador.Bloquear
Use Case;8;Perfil Ajeno de Administrador;com.example.demo.views.PerfilAjenodeAdministrador
Use Case;10;Perfil Ajeno de Youtuber;com.example.demo.views.PerfilAjenodeYoutuber
Actor;12;Inicio;com.example.demo.service.iInicio, com.example.demo.views.Inicio
Actor;14;Registrado;com.example.demo.service.iRegistrado, com.example.demo.views.Registrado
Use Case;16;Perfil;com.example.demo.views.Perfil
Use Case;18;Perfil Propio;com.example.demo.views.PerfilPropio, com.example.demo.views.Youtuber.PerfilPropio
Use Case;20;Enviar Correo;com.example.demo.views.Registrar.EnviarCorreo
Actor;22;Servidor de Correo;com.example.demo.views.ServidordeCorreo
Use Case;24;Registrar;com.example.demo.views.Registrar, com.example.demo.views.NoLogueado.Registrar
Use Case;26;Lista de Videos;com.example.demo.views.ListadeVideos_item, com.example.demo.views.ListadeVideos
Use Case;28;Seguir;com.example.demo.views.PerfilAjenodeYoutuber.Seguir
Use Case;30;Usuarios denunciados;com.example.demo.views.Usuariosdenunciados_item, com.example.demo.views.Usuariosdenunciados, com.example.demo.views.Administrador.Usuariosdenunciados
Use Case;32;Denunciar;com.example.demo.views.PerfilAjenodeYoutuber.Denunciar
Use Case;34;Youtubers seguidos;com.example.demo.views.Youtubersseguidos_item, com.example.demo.views.Youtubersseguidos
Use Case;36;Galería de Videos;com.example.demo.views.GaleradeVideos_item, com.example.demo.views.GaleradeVideos
Use Case;38;Perfil Ajeno;com.example.demo.views.PerfilAjeno, com.example.demo.views.VerVideo.PerfilAjeno, com.example.demo.views.VerComentarios_item.PerfilAjeno, com.example.demo.views.Youtubersseguidos_item.PerfilAjeno
Use Case;40;Videos publicados;com.example.demo.views.Videospublicados_item, com.example.demo.views.Videospublicados
Use Case;42;Videos gustados;com.example.demo.views.Videosgustados_item, com.example.demo.views.Videosgustados
Use Case;44;Publicar Video;com.example.demo.views.PublicarVideo, com.example.demo.views.PerfilPropio.PublicarVideo
Use Case;46;Comentar;com.example.demo.views.Comentar
Use Case;48;eliminar;com.example.demo.views.VerComentariosdeAdministrador_item.eliminar
Use Case;50;Ver Comentarios de Youtuber;com.example.demo.views.VerComentariosdeYoutuber_item, com.example.demo.views.VerComentariosdeYoutuber
Use Case;52;Ver Comentarios de Administrador;com.example.demo.views.VerComentariosdeAdministrador_item, com.example.demo.views.VerComentariosdeAdministrador
Use Case;54;Ver Comentarios;com.example.demo.views.VerComentarios_item, com.example.demo.views.VerComentarios, com.example.demo.views.VerVideo.VerComentarios
Use Case;56;like;com.example.demo.views.VerVideodeYoutuber.like
Use Case;58;borrar;com.example.demo.views.VerVideodeAdministrador.borrar
Use Case;60;Videos relacionados;com.example.demo.views.Videosrelacionados_item, com.example.demo.views.Videosrelacionados, com.example.demo.views.VerVideo.Videosrelacionados
Use Case;62;Ver Video de Administrador;com.example.demo.views.VerVideodeAdministrador
Use Case;64;Ver Video de Youtuber;com.example.demo.views.VerVideodeYoutuber
Use Case;66;Ver Video;com.example.demo.views.VerVideo, com.example.demo.views.Videosrelacionados_item.VerVideo, com.example.demo.views.ListadeVideos_item.VerVideo, com.example.demo.views.GaleradeVideos_item.VerVideo
Use Case;68;Resultado de Busqueda;com.example.demo.views.ResultadodeBusqueda_item, com.example.demo.views.ResultadodeBusqueda
Use Case;70;Configuracion;com.example.demo.views.Configuracion, com.example.demo.views.PerfilPropio.Configuracion
Use Case;72;Buscar;com.example.demo.views.Buscar, com.example.demo.views.Inicio.Buscar
Use Case;74;Logout;com.example.demo.views.Registrado.Logout
Use Case;76;Login;com.example.demo.views.Login, com.example.demo.views.NoLogueado.Login
Use Case;78;Ultimos Videos;com.example.demo.views.UltimosVideos_item, com.example.demo.views.UltimosVideos, com.example.demo.views.Inicio.UltimosVideos
Actor;80;Administrador;com.example.demo.service.iAdministrador, com.example.demo.views.Administrador
Actor;82;Youtuber;com.example.demo.service.iYoutuber, com.example.demo.views.Youtuber

Actor;84;NoLogueado;com.example.demo.service.iNoLogueado, com.example.demo.views.NoLogueado
